Date,United States(USD),Europe(EUR),Japan(JPY),United Kingdom(GBP),Canada(CAD),India(INR),China(CNY),Turkey(TRY),Saudi Arabia(SAR),Indonesia(IDR),United Arab Emirates(AED),Thailand(THB),Vietnam(VND),Egypt(EGP),South Korean(KRW),Australia(AUD),South Africa(ZAR)
2000,283.3,289.6,30325.8,174.8,410.5,12360,2345.1,158.4,1062.5,2102084.6,1040.6,10613.8,3980928.9,970.3,318287.3,444.2,1787.8
2001,264.5,284.4,30757.4,181,397.2,12271.5,2189.6,179.1,992,2499525,971.5,11239.9,3847152.5,1019,332476.5,481.6,2055.7
2002,282.3,327.9,37764.7,199.8,448.9,13694.4,2336.5,369.4,1058.7,2911922.5,1036.9,12433.9,4268655.4,1307.8,371054.8,557.1,3223.6
2003,367.5,342.3,44078,223.6,562.9,17567.8,3041.8,606.6,1378.2,3259725,1349.8,15718,5670892.5,1962.5,427770,626.9,3136.1
2004,399.8,321.8,42313.5,219.6,531.8,18106.7,3308.7,535.3,1499.1,3381285.4,1468.3,15686.2,6274076.3,2464.5,469106.6,525.3,2826.7
2005,422.2,323.9,43673.5,223.8,523.8,18429,3493.9,563.8,1583.2,3869426,1550.4,16278.1,6664480.5,2463.2,432914.7,544.7,2515.2
2006,568.8,468.4,66580.7,320,650.3,25096.1,4585,752.5,2133.1,5338571.9,2089,22138.6,9053362.5,3259.9,548644.6,751.9,3461.7
2007,650.5,500.6,78684.5,332.3,767.9,28727.4,5056.9,918.2,2439.8,5919550,2389.2,22598.4,10434020,3705.9,612445.8,839.8,4718.6
2008,923.3,623.6,98164.6,464.4,930.8,36353,6630.6,1083.8,3461.5,8536831.1,3389.3,30481.1,14744764.1,5126.4,871455.6,1034.6,6923.2
2009,919.5,717.5,82580.3,637.8,1140,44945.2,6287.5,1512.2,3450.5,10463910,3377.1,32159.5,16076078.3,5118.4,1268542.1,1446,9381.2
2010,1078.5,775.9,97771.4,673.1,1149.1,49794.3,7362.7,1606.7,4044.5,10083975,3961.4,35800.8,19924209,5894,1252947.4,1213.4,8137.3
2011,1327,967.9,108721.1,828.5,1327.3,60922.6,8762.2,2127.4,4977.1,12006696,4874,40997.7,25873182.5,7772.9,1487964.8,1331,9527.9
2012,1744,1332.3,132980,1105.2,1749,86232.1,11002,3089.8,6540.4,15678560,6405.7,53933.2,36655392,10513.7,1959122.2,1641,13601.7
2013,1664.8,1226.4,151925.1,1050,1662.8,88548,10352.8,2928.5,6243.1,16214665,6114.6,49642.8,34693390,11179.1,1812787.6,1596,14871.5
2014,1251,927.7,127583.2,761.2,1394.8,78381.4,7581.1,2828.4,4691.7,15274710,4594.9,41295.5,26346060,8709,1339007.7,1433.8,13972.1
2015,1260.3,1116.8,148035.3,839.1,1597.9,78053.6,7877.8,3073.9,4738.9,15964216.9,4629,41248,26861598.6,9565.4,1378209.2,1618.3,14658
2016,1111.8,1027.5,134600,783.8,1564.6,75466.2,7314.3,3290.7,4170.9,15315042.3,4083.7,39727.4,24715309.7,8705.5,1332936.7,1571.8,17677.6
2017,1212.8,1122.2,136530.9,964,1581.2,82282.4,8341.6,4578.7,4548.2,16193909.4,4454.5,42702.7,27400179.6,22982.6,1409394.5,1597.6,16348.5
2018,1345.1,1079.7,146818.9,945.9,1650.2,85550.2,8462,5045.8,5043.9,18008199.3,4940.5,42127,30545072.3,23753.6,1436311.2,1661.1,15970.8
2019,1323.3,1153.2,144009.3,1005.9,1737.8,94109.5,8873.1,6849,4962.9,18489110.6,4860.3,41341.6,30698076.8,23408.3,1472314,1814.8,17559.5
2020,1584.2,1429.5,171703.5,1201.8,2095.2,113044.6,10978.5,9481.4,5943.9,21632250.3,5818.8,49379.5,36789875.5,25030.4,1888128.9,2366.4,23762.2
2021,1863.8,1534.1,195130.6,1357.3,2380.9,135982.9,12041.6,13602.9,6990.7,26149114.7,6846,55783.5,42958727.3,29280.3,2084846.7,2429.2,28054.9
